Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
46,US-2016-000046,11-06-2016,18-06-2016,First Class,C-0138,Customer_138,Consumer,United States,Wisconsin,Central,Furniture,Furnishings,2886.66,6,0.3,-812.11
47,US-2015-000047,20-11-2015,21-11-2015,Same Day,C-0193,Customer_193,Home Office,United States,Georgia,South,Furniture,Furnishings,3616.33,14,0.1,-52.5
48,US-2017-000048,12-02-2017,13-02-2017,Second Class,C-0153,Customer_153,Corporate,United States,Oregon,West,Office Supplies,Labels,104.12,2,0,33.89
49,US-2016-000049,06-07-2016,13-07-2016,Standard Class,C-0166,Customer_166,Home Office,United States,Arizona,West,Office Supplies,Envelopes,124.76,2,0,36.72
50,US-2015-000050,06-12-2015,10-12-2015,First Class,C-0122,Customer_122,Home Office,United States,Michigan,Central,Office Supplies,Appliances,852.36,6,0,251.57
51,US-2015-000051,28-01-2015,30-01-2015,Same Day,C-0081,Customer_81,Consumer,United States,Washington,West,Technology,Accessories,4388.82,5,0.4,-866.95
52,US-2016-000052,10-01-2016,12-01-2016,First Class,C-0050,Customer_50,Corporate,United States,California,West,Furniture,Tables,578.09,1,0,43.1
53,US-2014-000053,30-07-2014,06-08-2014,Standard Class,C-0179,Customer_179,Home Office,United States,Oregon,West,Technology,Copiers,6044.6,10,0,1596.2
54,US-2016-000054,31-03-2016,04-04-2016,Standard Class,C-0123,Customer_123,Corporate,United States,Alabama,South,Technology,Phones,12774.2,10,0,3128.65
55,US-2017-000055,16-02-2017,23-02-2017,Same Day,C-0022,Customer_22,Home Office,United States,Ohio,East,Technology,Phones,10912.05,10,0.1,2046.77
56,US-2015-000056,18-09-2015,23-09-2015,Standard Class,C-0077,Customer_77,Corporate,United States,Virginia,East,Office Supplies,Supplies,1922.2,10,0,665.61
57,US-2015-000057,07-05-2015,09-05-2015,Standard Class,C-0170,Customer_170,Corporate,United States,Michigan,Central,Technology,Accessories,149.09,3,0.1,25.25
58,US-2017-000058,10-12-2017,17-12-2017,Same Day,C-0074,Customer_74,Consumer,United States,Washington,West,Office Supplies,Labels,194.66,2,0.3,-2.18
59,US-2017-000059,20-01-2017,22-01-2017,Second Class,C-0051,Customer_51,Home Office,United States,Missouri,Central,Furniture,Chairs,3341.2,5,0,289.32
60,US-2014-000060,12-09-2014,16-09-2014,First Class,C-0146,Customer_146,Home Office,United States,Colorado,West,Furniture,Furnishings,4150.92,12,0,514.71
61,US-2017-000061,21-05-2017,24-05-2017,Standard Class,C-0011,Customer_11,Home Office,United States,North Carolina,East,Furniture,Bookcases,385.16,2,0.1,13.89
62,US-2017-000062,26-03-2017,27-03-2017,Second Class,C-0196,Customer_196,Consumer,United States,New York,East,Office Supplies,Labels,849.6,8,0,253.02
63,US-2016-000063,20-08-2016,23-08-2016,Same Day,C-0163,Customer_163,Home Office,United States,Tennessee,South,Furniture,Chairs,1704,6,0,146.68
64,US-2017-000064,31-01-2017,01-02-2017,Same Day,C-0074,Customer_74,Consumer,United States,Virginia,East,Office Supplies,Supplies,132.66,2,0,48.69
65,US-2016-000065,04-08-2016,08-08-2016,Standard Class,C-0001,Customer_1,Home Office,United States,North Carolina,East,Office Supplies,Appliances,381.96,4,0.1,76.33
66,US-2015-000066,13-08-2015,17-08-2015,Same Day,C-0053,Customer_53,Consumer,United States,New York,East,Furniture,Tables,111.49,2,0.1,3.34
67,US-2014-000067,10-07-2014,12-07-2014,Standard Class,C-0142,Customer_142,Consumer,United States,Michigan,Central,Technology,Copiers,12139.33,8,0.2,65.52
68,US-2016-000068,30-04-2016,07-05-2016,Same Day,C-0131,Customer_131,Corporate,United States,Alabama,South,Office Supplies,Labels,336.19,8,0.2,22.98
69,US-2015-000069,20-07-2015,27-07-2015,Same Day,C-0192,Customer_192,Consumer,United States,Louisiana,South,Technology,Phones,10107.61,6,0.1,1941.22
70,US-2014-000070,01-11-2014,05-11-2014,Same Day,C-0151,Customer_151,Consumer,United States,Oregon,West,Office Supplies,Envelopes,377.08,6,0.1,70.79
71,US-2017-000071,17-03-2017,21-03-2017,Second Class,C-0049,Customer_49,Corporate,United States,Arkansas,South,Office Supplies,Art,2187.22,14,0,753.43
72,US-2016-000072,11-10-2016,12-10-2016,Second Class,C-0098,Customer_98,Corporate,United States,Minnesota,Central,Furniture,Tables,6266.73,9,0.1,-250.44
73,US-2014-000073,23-10-2014,27-10-2014,Second Class,C-0135,Customer_135,Home Office,United States,Florida,South,Furniture,Chairs,476.17,2,0.4,-179.11
74,US-2015-000074,11-10-2015,17-10-2015,Same Day,C-0021,Customer_21,Consumer,United States,Missouri,Central,Furniture,Furnishings,5053.1,14,0.2,-740.4
75,US-2016-000075,07-06-2016,08-06-2016,Standard Class,C-0059,Customer_59,Consumer,United States,Michigan,Central,Office Supplies,Binders,299.52,8,0,81.74
76,US-2016-000076,01-06-2016,03-06-2016,Second Class,C-0076,Customer_76,Corporate,United States,New York,East,Furniture,Bookcases,2860.6,9,0.1,-91.52
77,US-2016-000077,16-10-2016,21-10-2016,Second Class,C-0098,Customer_98,Corporate,United States,Nevada,West,Office Supplies,Art,379.68,4,0,112.21
78,US-2014-000078,01-06-2014,05-06-2014,First Class,C-0120,Customer_120,Corporate,United States,Utah,West,Furniture,Tables,1604.16,10,0.4,-546.97
79,US-2014-000079,07-08-2014,09-08-2014,Same Day,C-0051,Customer_51,Home Office,United States,Ohio,East,Furniture,Furnishings,3128.1,10,0,437.71
80,US-2014-000080,17-01-2014,22-01-2014,Standard Class,C-0169,Customer_169,Corporate,United States,Utah,West,Furniture,Bookcases,4850.64,10,0.2,-386.63
81,US-2017-000081,27-07-2017,29-07-2017,First Class,C-0156,Customer_156,Home Office,United States,Illinois,Central,Furniture,Tables,4729.65,11,0.3,-1049.58
82,US-2015-000082,25-09-2015,02-10-2015,Same Day,C-0161,Customer_161,Home Office,United States,California,West,Office Supplies,Storage,106.22,1,0.1,16.89
83,US-2014-000083,28-09-2014,05-10-2014,First Class,C-0107,Customer_107,Consumer,United States,Colorado,West,Technology,Accessories,9256.5,9,0,2281.31
84,US-2014-000084,24-08-2014,28-08-2014,Standard Class,C-0076,Customer_76,Corporate,United States,Tennessee,South,Office Supplies,Fasteners,456.18,3,0,154.02
85,US-2016-000085,19-03-2016,20-03-2016,First Class,C-0143,Customer_143,Consumer,United States,Indiana,Central,Furniture,Chairs,1084.83,9,0.1,27.01
86,US-2017-000086,14-10-2017,16-10-2017,Same Day,C-0164,Customer_164,Home Office,United States,Arizona,West,Furniture,Chairs,357.6,1,0.3,-91.97
87,US-2017-000087,06-12-2017,09-12-2017,Same Day,C-0017,Customer_17,Consumer,United States,Missouri,Central,Office Supplies,Envelopes,38.71,2,0.4,-6.95
88,US-2016-000088,06-03-2016,10-03-2016,First Class,C-0061,Customer_61,Corporate,United States,New York,East,Office Supplies,Paper,1882.29,11,0.1,384.02
89,US-2016-000089,29-09-2016,04-10-2016,Same Day,C-0040,Customer_40,Corporate,United States,New Jersey,East,Furniture,Chairs,324.3,5,0,37.08
90,US-2017-000090,20-01-2017,26-01-2017,First Class,C-0093,Customer_93,Consumer,United States,Arkansas,South,Technology,Machines,826.37,1,0,200.16
91,US-2017-000091,07-08-2017,13-08-2017,Standard Class,C-0024,Customer_24,Consumer,United States,Tennessee,South,Office Supplies,Art,158.42,1,0,44.77
92,US-2017-000092,15-04-2017,17-04-2017,Second Class,C-0196,Customer_196,Consumer,United States,New York,East,Office Supplies,Art,748.8,6,0.2,67.09
93,US-2014-000093,24-12-2014,25-12-2014,Standard Class,C-0034,Customer_34,Home Office,United States,Washington,West,Office Supplies,Labels,21.33,3,0.1,3.71
94,US-2016-000094,12-05-2016,17-05-2016,Standard Class,C-0068,Customer_68,Consumer,United States,Pennsylvania,East,Technology,Accessories,2087.28,12,0,555.64
95,US-2017-000095,11-09-2017,16-09-2017,First Class,C-0129,Customer_129,Home Office,United States,Virginia,East,Technology,Phones,10436.08,8,0,3442.43
96,US-2017-000096,29-12-2017,02-01-2018,Standard Class,C-0176,Customer_176,Corporate,United States,Tennessee,South,Technology,Copiers,1356.24,2,0,329.05
97,US-2016-000097,20-02-2016,25-02-2016,First Class,C-0141,Customer_141,Corporate,United States,Wisconsin,Central,Office Supplies,Fasteners,745.78,8,0.1,171.01
98,US-2016-000098,30-05-2016,03-06-2016,Second Class,C-0167,Customer_167,Corporate,United States,Colorado,West,Office Supplies,Art,497.63,7,0,155.06
99,US-2016-000099,06-02-2016,08-02-2016,Same Day,C-0081,Customer_81,Consumer,United States,Arizona,West,Office Supplies,Labels,45.58,2,0,14.28
100,US-2017-000100,16-04-2017,21-04-2017,First Class,C-0034,Customer_34,Home Office,United States,Michigan,Central,Office Supplies,Storage,285.52,11,0.1,61.82
101,US-2017-000101,14-05-2017,17-05-2017,First Class,C-0185,Customer_185,Home Office,United States,Minnesota,Central,Technology,Machines,2353.88,2,0,695.98
102,US-2014-000102,24-08-2014,31-08-2014,First Class,C-0090,Customer_90,Consumer,United States,California,West,Office Supplies,Fasteners,491,10,0,160.11
103,US-2014-000103,23-02-2014,28-02-2014,First Class,C-0158,Customer_158,Home Office,United States,Wisconsin,Central,Office Supplies,Appliances,28.13,1,0.3,-1.66
104,US-2014-000104,23-05-2014,25-05-2014,Standard Class,C-0047,Customer_47,Corporate,United States,New York,East,Technology,Copiers,3009.84,2,0,818.63
105,US-2017-000105,08-03-2017,13-03-2017,Standard Class,C-0080,Customer_80,Corporate,United States,Ohio,East,Office Supplies,Fasteners,28.27,1,0.2,0.99
106,US-2017-000106,28-05-2017,01-06-2017,Same Day,C-0170,Customer_170,Corporate,United States,Arizona,West,Furniture,Furnishings,1019.15,5,0,106.52
107,US-2016-000107,15-12-2016,21-12-2016,First Class,C-0174,Customer_174,Home Office,United States,Colorado,West,Office Supplies,Envelopes,28.8,1,0.4,-5.89
108,US-2015-000108,16-08-2015,19-08-2015,Standard Class,C-0197,Customer_197,Consumer,United States,Washington,West,Technology,Machines,1019.9,1,0,247.75
109,US-2014-000109,28-05-2014,01-06-2014,Standard Class,C-0129,Customer_129,Home Office,United States,Pennsylvania,East,Office Supplies,Fasteners,42.38,7,0.3,-0.16
110,US-2015-000110,16-08-2015,17-08-2015,Same Day,C-0104,Customer_104,Consumer,United States,North Carolina,East,Office Supplies,Supplies,193.41,1,0,70.55
111,US-2014-000111,05-08-2014,07-08-2014,Same Day,C-0093,Customer_93,Consumer,United States,New Jersey,East,Technology,Copiers,8308.8,10,0,2634.33
112,US-2016-000112,11-11-2016,17-11-2016,Standard Class,C-0086,Customer_86,Corporate,United States,Illinois,Central,Technology,Phones,5639.81,9,0.4,-1212.91
113,US-2014-000113,30-07-2014,01-08-2014,First Class,C-0166,Customer_166,Home Office,United States,Minnesota,Central,Technology,Accessories,1553.28,4,0,475.17
114,US-2017-000114,28-02-2017,07-03-2017,Same Day,C-0161,Customer_161,Home Office,United States,Utah,West,Furniture,Furnishings,8165.96,11,0,1090.4
115,US-2016-000115,19-06-2016,20-06-2016,Same Day,C-0161,Customer_161,Home Office,United States,Minnesota,Central,Furniture,Tables,2911.16,8,0.3,-672.06
116,US-2014-000116,19-03-2014,20-03-2014,First Class,C-0080,Customer_80,Corporate,United States,New York,East,Furniture,Furnishings,3253.07,14,0.1,155.29
117,US-2017-000117,03-04-2017,08-04-2017,Standard Class,C-0130,Customer_130,Home Office,United States,Nevada,West,Furniture,Furnishings,5847.04,8,0,519.36
118,US-2014-000118,31-07-2014,07-08-2014,First Class,C-0039,Customer_39,Corporate,United States,North Carolina,East,Technology,Copiers,2315.95,12,0.1,263.82
119,US-2016-000119,16-01-2016,19-01-2016,First Class,C-0135,Customer_135,Home Office,United States,Indiana,Central,Office Supplies,Paper,533.67,7,0.1,111.96
120,US-2014-000120,13-07-2014,18-07-2014,Same Day,C-0086,Customer_86,Corporate,United States,Missouri,Central,Technology,Machines,1624.17,5,0.4,-249.41
121,US-2015-000121,18-12-2015,21-12-2015,Same Day,C-0086,Customer_86,Corporate,United States,Pennsylvania,East,Technology,Accessories,2541.69,3,0.3,-251.73
122,US-2017-000122,16-08-2017,22-08-2017,Same Day,C-0085,Customer_85,Home Office,United States,Massachusetts,East,Technology,Phones,6800.04,9,0,1686.59
123,US-2014-000123,09-10-2014,11-10-2014,Standard Class,C-0125,Customer_125,Corporate,United States,Utah,West,Technology,Accessories,8483.2,5,0,2605.08
124,US-2017-000124,19-06-2017,21-06-2017,Same Day,C-0010,Customer_10,Consumer,United States,Louisiana,South,Office Supplies,Fasteners,76.94,3,0.3,-0.99
125,US-2016-000125,21-04-2016,24-04-2016,Second Class,C-0185,Customer_185,Home Office,United States,Illinois,Central,Furniture,Chairs,2822.68,8,0.3,-597.34
126,US-2016-000126,24-01-2016,30-01-2016,Same Day,C-0080,Customer_80,Corporate,United States,Washington,West,Furniture,Tables,4498.34,8,0.1,1.31
127,US-2015-000127,28-05-2015,29-05-2015,Same Day,C-0052,Customer_52,Corporate,United States,Pennsylvania,East,Office Supplies,Paper,758.42,14,0.3,-14.3
128,US-2015-000128,13-07-2015,17-07-2015,Second Class,C-0073,Customer_73,Consumer,United States,New York,East,Technology,Accessories,8850.09,14,0.3,-954.01
129,US-2016-000129,22-03-2016,27-03-2016,First Class,C-0007,Customer_7,Consumer,United States,Ohio,East,Furniture,Chairs,1333.96,4,0,123.33
130,US-2014-000130,27-10-2014,29-10-2014,Standard Class,C-0183,Customer_183,Home Office,United States,California,West,Office Supplies,Fasteners,919.45,5,0,324.67
131,US-2014-000131,12-06-2014,13-06-2014,First Class,C-0115,Customer_115,Home Office,United States,Indiana,Central,Office Supplies,Storage,537.02,4,0.2,55.16
132,US-2015-000132,09-09-2015,10-09-2015,Standard Class,C-0199,Customer_199,Corporate,United States,New York,East,Furniture,Tables,1149.02,4,0.2,-142.81
133,US-2017-000133,18-07-2017,23-07-2017,Second Class,C-0153,Customer_153,Corporate,United States,Arizona,West,Office Supplies,Storage,396,12,0,131.27
134,US-2016-000134,08-12-2016,11-12-2016,Standard Class,C-0048,Customer_48,Consumer,United States,Arizona,West,Office Supplies,Binders,899.91,9,0.1,180.67
135,US-2016-000135,04-02-2016,07-02-2016,Standard Class,C-0121,Customer_121,Corporate,United States,Utah,West,Technology,Copiers,9525.66,6,0,2889.08
136,US-2014-000136,01-10-2014,02-10-2014,First Class,C-0149,Customer_149,Corporate,United States,Minnesota,Central,Office Supplies,Fasteners,511.34,9,0.2,57.8
137,US-2014-000137,04-10-2014,05-10-2014,Same Day,C-0123,Customer_123,Corporate,United States,Missouri,Central,Office Supplies,Paper,62.22,1,0,18.04
138,US-2015-000138,03-06-2015,04-06-2015,Second Class,C-0132,Customer_132,Home Office,United States,Oregon,West,Furniture,Furnishings,1400.85,5,0.1,51.24
139,US-2016-000139,19-06-2016,23-06-2016,First Class,C-0095,Customer_95,Home Office,United States,New York,East,Furniture,Furnishings,1251.33,3,0,203.25
140,US-2014-000140,11-06-2014,15-06-2014,Second Class,C-0022,Customer_22,Home Office,United States,Massachusetts,East,Office Supplies,Supplies,560.52,9,0,169.72
141,US-2014-000141,08-12-2014,14-12-2014,Same Day,C-0155,Customer_155,Corporate,United States,Arizona,West,Office Supplies,Supplies,497.83,6,0.1,120.06
142,US-2014-000142,03-06-2014,09-06-2014,Same Day,C-0071,Customer_71,Consumer,United States,Indiana,Central,Office Supplies,Storage,441.21,6,0.3,-32.65
143,US-2014-000143,13-03-2014,15-03-2014,Standard Class,C-0156,Customer_156,Home Office,United States,Utah,West,Office Supplies,Envelopes,627.24,4,0,193.37
144,US-2016-000144,30-01-2016,02-02-2016,Same Day,C-0040,Customer_40,Corporate,United States,North Carolina,East,Office Supplies,Envelopes,259.87,13,0,79.7
145,US-2015-000145,17-01-2015,21-01-2015,Same Day,C-0064,Customer_64,Corporate,United States,Oregon,West,Technology,Phones,2265,9,0.1,408.61
146,US-2015-000146,14-02-2015,15-02-2015,Second Class,C-0074,Customer_74,Consumer,United States,Nevada,West,Office Supplies,Envelopes,272.16,14,0,92.9
147,US-2017-000147,24-12-2017,25-12-2017,First Class,C-0175,Customer_175,Home Office,United States,Arkansas,South,Furniture,Bookcases,2748.16,5,0.2,-212.34
148,US-2014-000148,06-09-2014,08-09-2014,Second Class,C-0093,Customer_93,Consumer,United States,Minnesota,Central,Office Supplies,Art,636.48,4,0,207.11
149,US-2014-000149,15-05-2014,18-05-2014,Same Day,C-0142,Customer_142,Consumer,United States,Massachusetts,East,Technology,Phones,17421.6,12,0,5346.98
150,US-2016-000150,10-07-2016,14-07-2016,First Class,C-0033,Customer_33,Corporate,United States,Texas,Central,Furniture,Chairs,1485.22,3,0.3,-335.69
151,US-2014-000151,12-09-2014,17-09-2014,Second Class,C-0111,Customer_111,Corporate,United States,Washington,West,Office Supplies,Storage,185.55,5,0,63.26
152,US-2015-000152,07-02-2015,13-02-2015,First Class,C-0073,Customer_73,Consumer,United States,North Carolina,East,Technology,Machines,3425.73,3,0.1,408.84
153,US-2017-000153,11-09-2017,16-09-2017,First Class,C-0149,Customer_149,Corporate,United States,Wisconsin,Central,Technology,Accessories,25923.24,14,0,8201.55
154,US-2017-000154,26-08-2017,28-08-2017,Same Day,C-0198,Customer_198,Corporate,United States,Colorado,West,Office Supplies,Labels,1296,10,0,431.2
155,US-2015-000155,02-09-2015,06-09-2015,Standard Class,C-0124,Customer_124,Consumer,United States,Oregon,West,Technology,Copiers,2001.96,12,0,557.4
156,US-2015-000156,09-12-2015,13-12-2015,Second Class,C-0037,Customer_37,Consumer,United States,Nevada,West,Furniture,Bookcases,4180.93,13,0,426.09
157,US-2014-000157,18-07-2014,19-07-2014,First Class,C-0116,Customer_116,Home Office,United States,Ohio,East,Technology,Accessories,12145.84,7,0,3962.81
158,US-2015-000158,24-01-2015,31-01-2015,Second Class,C-0084,Customer_84,Consumer,United States,Arkansas,South,Office Supplies,Fasteners,1434.31,8,0.1,341.23
159,US-2015-000159,09-05-2015,11-05-2015,First Class,C-0101,Customer_101,Home Office,United States,New York,East,Office Supplies,Envelopes,14.86,1,0,5.32
160,US-2014-000160,09-08-2014,13-08-2014,Second Class,C-0074,Customer_74,Consumer,United States,Indiana,Central,Office Supplies,Storage,514.01,5,0.3,-27.45
161,US-2017-000161,07-02-2017,10-02-2017,Standard Class,C-0144,Customer_144,Consumer,United States,North Carolina,East,Technology,Machines,5786.48,7,0.2,104
162,US-2014-000162,18-07-2014,22-07-2014,First Class,C-0157,Customer_157,Corporate,United States,Mississippi,South,Technology,Accessories,20532.1,13,0.2,545.35
163,US-2014-000163,03-04-2014,04-04-2014,Second Class,C-0131,Customer_131,Corporate,United States,Nevada,West,Furniture,Chairs,3517.32,12,0,406.95
164,US-2014-000164,29-11-2014,03-12-2014,First Class,C-0036,Customer_36,Consumer,United States,North Carolina,East,Furniture,Bookcases,2365.12,10,0.2,-276.17
165,US-2015-000165,10-11-2015,16-11-2015,Standard Class,C-0122,Customer_122,Home Office,United States,Michigan,Central,Technology,Machines,5822.28,7,0.3,-334.59
166,US-2017-000166,04-09-2017,11-09-2017,Second Class,C-0153,Customer_153,Corporate,United States,Texas,Central,Furniture,Bookcases,853.52,12,0.1,2.07
167,US-2014-000167,06-03-2014,11-03-2014,Standard Class,C-0098,Customer_98,Corporate,United States,Minnesota,Central,Technology,Accessories,312.95,4,0.1,39.16
168,US-2014-000168,08-05-2014,14-05-2014,Second Class,C-0129,Customer_129,Home Office,United States,Indiana,Central,Office Supplies,Envelopes,367.98,9,0.1,79.57
169,US-2017-000169,23-01-2017,26-01-2017,First Class,C-0045,Customer_45,Consumer,United States,Ohio,East,Furniture,Bookcases,2447.88,10,0.4,-935.33
170,US-2017-000170,14-11-2017,20-11-2017,Same Day,C-0198,Customer_198,Corporate,United States,Oregon,West,Furniture,Tables,2427.9,6,0,396.84
171,US-2016-000171,17-02-2016,21-02-2016,First Class,C-0032,Customer_32,Consumer,United States,Michigan,Central,Office Supplies,Appliances,2104.7,13,0,628.81
172,US-2016-000172,08-09-2016,10-09-2016,Second Class,C-0114,Customer_114,Consumer,United States,Michigan,Central,Office Supplies,Labels,924.17,14,0.4,-129.74
173,US-2015-000173,12-05-2015,13-05-2015,Second Class,C-0190,Customer_190,Home Office,United States,Nevada,West,Office Supplies,Art,554.4,11,0,168
